UPM,NVIVI,NHOGA,RONDA,LINEA,P02,P03,P04,P06,ED01,ED02,ED03,AÑOESTU,ED05,ED06,ED07,A01,A01A,A02,A03,A04,A05,A06,A08,A09,A10,A11,A12,RECA13,RECA14,A15,A16,A18,RECB01,RECB02,B04,B05,B06,B07A,B07M,B08,B10,B11,B12,B13,B14A,B14B,B15,B22,B23,RECC01,RECC02,C05,C07,C09A,C09B,C09C,C10,C11,D01,D02,D03,D04,E01A,E01B,E01C,E01D,E01E,E01F,E01G,E01GC,E01H,E01I,E01J,E01K,E01T,PEAA,PEAD,HORABH,TIPOHOGA,INGBC,EDAD_QUIN,FEX,trimestre,year
50,145,1,1,5,3,1,6,5,3,1,1,9,4,1, ,6,2,6,6,1, ,3,1, ,1, ,1,5,5,4,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,2,2, ,4, ,4,784,1,2010
50,145,1,1,6,5,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,1223,1,2010
50,146,1,1,1,1,1,6,2,1,6,1,4,20, ,1,1, ,6,6,6,6, , ,6,6,3,1,9,5,2,4,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,8,1051,1,2010
50,146,1,1,2,2,1,1,2,1,1,1,6,20, ,15,6,1,1, , , , , , , , , , , , , , ,7,8,1, , ,12,0,5,6,2,1408864,6, , ,6,3,6, , , , , , , , , ,6, , ,6,1408864,0,0,0,0,0,0, ,0,0,0,0,1408864,1,1,58,2,1408864,8,1140,1,2010
50,146,1,1,3,3,1,1,5,2,1,1,6,20, ,16,6,1,1, , , , , , , , , , , , , , ,9,4,1, , ,0,1,2,6,2,520000,6, , ,6,3,6, , , , , , , , , ,6, , ,6,520000,0,0,0,0,0,0, ,0,0,0,0,520000,1,5,50,2,520000,4,832,1,2010
50,146,1,1,4,3,1,6,5,3,1,1,6,2,1, ,6,1,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,3,851,1,2010
50,146,1,1,5,3,1,1,5,3,6,6,0, , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,930,1,2010
51,4,1,1,1,1,1,1,2,2,1,1,6, , , ,6,4,1, , , , , , , , , , , , , , ,5,5,1, , ,10,0,2,6,4, , , , , , ,6, , , , , , , , , ,1,6,6,6,200000,0,0,0,0,0,0, ,0,0,0,0,200000,1,1,51,2,200000,13,385,1,2010
51,4,1,1,2,2,1,6,2,2,1,1,6, , , ,6,4,1, , , , , , , , , , , , , , ,5,5,1, , ,10,0,2,6,4, , , , , , ,6, , , , , , , , , ,1,6,6,6,200000,0,0,0,0,0,0, ,0,0,0,0,200000,1,1,51,2,200000,13,374,1,2010
51,4,1,1,3,3,1,6,5,2,1,1,13,13,2, ,6,4,1, , , , , , , , , , , , , , ,5,8,1, , ,4,0,6,1,1,1300000,6, , ,6,1,6, , , , , , , , , ,3,6,1,1,1300000,0,0,0,0,0,0, ,0,0,0,0,1300000,1,1,30,2,1300000,8,618,1,2010
51,4,1,1,4,3,1,6,5,2,1,1,15,17,2, ,1, ,6,6,6,6, , ,7,2, ,1,9,8,2,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,6,494,1,2010
51,15,1,1,1,1,1,6,2,2,1,1,8,20, ,1,6,3,1, , , , , , , , , , , , , , ,5,5,1, , ,2,0,1,6,4, , , , , , ,6, , , , , , , , , ,6, , ,6,150000,0,0,0,0,0,240000,1,0,0,0,0,390000,1,1,48,4,150000,9,684,1,2010
51,15,1,1,2,2,1,1,2,2,1,1,12,20, ,2,6,3,1, , , , , , , , , , , , , , ,7,4,1, , ,15,0,2,6,3, , , , , , ,6, , , , , , , , , ,6, , ,1,800000,0,0,0,0,0,0, ,0,0,0,0,800000,1,1,54,4,800000,11,415,1,2010
51,15,1,1,3,3,1,6,5,2,1,1,10,20, ,16,1, ,1, , , , , , , , , , , , , , ,5,5,1, , ,0,2,1,6,4, , , , , , ,6, , , , , , , , , ,1,10,1,1,1680000,0,0,0,0,0,0, ,0,0,0,0,1680000,1,1,98,4,1680000,6,494,1,2010
51,15,1,1,4,3,1,1,5,2,1,1,10,20, ,16,6,3,1, , , , , , , , , , , , , , ,7,4,1, , ,4,0,2,6,2,800000,6, , ,6,3,1,8,7, ,6,360000,0,0,3,0,2,1,6,1,800000,360000,0,0,0,0,0, ,0,0,0,0,1160000,1,5,32,4,1160000,6,433,1,2010
51,15,1,1,5,3,1,1,5,2,1,1,11,8,1, ,6,3,1, , , , , , , , , , , , , , ,7,5,1, , ,3,0,6,6,2,1200000,6, , ,6,2,6, , , , , , , , , ,6, , ,1,1200000,0,0,0,0,0,0, ,0,0,0,0,1200000,1,5,56,4,1200000,5,465,1,2010
51,15,1,1,6,3,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,720,1,2010
51,15,1,1,7,9,1,6,1,2,1,1,12,20, ,1,1, ,6,6,6,6, , ,11,6,5,1,5,5,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,570000,1,0,0,0,0,570000,3,3, ,4, ,6,494,1,2010
51,15,1,1,8,9,1,1,1,2,1,1,6,20, ,16,6,7,1, , , , , , , , , , , , , , ,9,6,3,1,25,8,0,1,6,4, , , , , , ,6, , , , , , , , , ,6, , ,1,100000,0,0,0,0,0,0, ,0,0,0,0,100000,1,4,25,4,100000,5,465,1,2010
51,15,1,1,9,9,1,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,656,1,2010
51,27,1,1,1,1,1,1,1,2,1,1,9,20, ,2,6,2,1, , , , , , , , , , , , , , ,7,2,1, , ,15,0,2,1,3, , , , , , ,6, , , , , , , , , ,6, , ,1,3000000,0,0,0,0,0,0, ,0,0,0,0,3000000,1,1,60,4,3000000,10,490,1,2010
51,27,1,1,2,2,1,6,1,2,1,1,6,20, ,1,1, ,6,6,6,6, , ,6,6,3,1,7,2,4,1,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,9,684,1,2010
51,27,1,1,3,3,1,1,5,2,1,1,12,17,2, ,6,2,1, , , , , , , , , , , , , , ,7,2,1, , ,2,0,2,6,2,800000,6, , ,6,2,6, , , , , , , , , ,1,1,6,6,800000,0,0,0,0,0,0, ,0,0,0,0,800000,1,5,60,4,800000,4,490,1,2010
51,27,1,1,4,3,1,6,5,2,1,1,9,4,1, ,6,2,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,4,462,1,2010
51,27,1,1,5,3,1,6,5,2,1,1,5,2,1, ,6,2,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,501,1,2010
51,27,1,1,6,3,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,720,1,2010
51,27,1,1,7,9,1,6,5,2,1,1,8,2,1, ,6,2,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,4,462,1,2010
51,28,1,1,1,1,1,1,2,2,1,1,6, , , ,6,2,1, , , , , , , , , , , , , , ,8,6,1, , ,20,0,7,1,2,1275021,6, , ,6,2,6, , , , , , , , , ,1,6,6,6,1275021,0,0,0,0,0,0, ,0,0,0,0,1275021,1,1,72,2,1275021,11,415,1,2010
51,28,1,1,2,2,1,6,2,2,1,1,6,20, ,2,1, ,6,6,6,6, , ,6,6,3,1,5,8,2,2,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,11,422,1,2010
51,28,1,1,3,3,1,6,5,2,1,1,12,20, ,2,6,2,6,6,6,6, , ,9,1, ,1,4,5,2,6,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,5,491,1,2010
51,28,1,1,4,3,1,1,5,2,1,1,6,2,1, ,6,2,6,6,6,6, , ,7,2, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,4,490,1,2010
51,28,1,1,5,3,1,1,5,3,1,1,8,2,1, ,6,2,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,4,490,1,2010
51,51,1,1,1,1,1,1,1,1,1,1,9, , , ,6,2,1, , , , , , , , , , , , , , ,8,6,1, , ,32,0,6,1,2,1575605,6, , ,6,2,6, , , , , , , , , ,3,6,6,6,1575605,0,0,0,0,0,0, ,0,0,0,0,1575605,1,1,60,2,1575605,11,415,1,2010
51,51,1,1,2,2,1,6,1,1,1,1,6, , , ,1, ,6,6,6,6, , ,6,1, ,1,7,8,1,6,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,200000,0, ,0,0,0,0,200000,3,3, ,2, ,11,422,1,2010
51,51,1,1,3,3,1,6,5,1,1,1,13,17,2, ,1, ,6,6,6,6, , ,9,1, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,5,491,1,2010
51,56,1,1,1,1,1,6,2,3,1,1,8,20, ,15,1, ,6,6,6,1,3,6,9,1, ,1,5,8,6,9,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,2,2, ,2, ,6,494,1,2010
51,56,1,1,2,2,1,1,2,3,1,1,7,20, ,2,1, ,1, , , , , , , , , , , , , , ,9,4,1, , ,0,2,3,6,2,946000,6, , ,6,3,6, , , , , , , , , ,2,6,6,6,946000,0,0,0,0,0,0, ,0,0,0,0,946000,1,5,50,2,946000,7,611,1,2010
51,56,1,1,3,3,1,1,5,3,1,1,7,2,1, ,6,1,1, , , , , , , , , , , , , , ,9,5,1, , ,0,2,2,6,2,200000,6, , ,6,3,6, , , , , , , , , ,6, , ,1,200000,0,0,0,0,0,0, ,0,0,0,0,200000,1,5,62,2,200000,3,459,1,2010
51,56,1,1,4,3,1,1,5,2,1,1,6,2,1, ,6,1,6,6,1, ,1,1, ,1, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,2,7, ,2, ,3,459,1,2010
51,56,1,1,5,3,1,6,5,3,1,1,4,2,1, ,6,1,6,6,6,6, , ,5,6,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,3,501,1,2010
51,56,1,1,6,3,1,1,5,3,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,548,1,2010
51,73,1,1,1,1,1,1,2,3,1,1,14,20, ,2,1, ,1, , , , , , , , , , , , , , ,3,5,1, , ,4,0,5,6,2,2500000,6, , ,6,3,6, , , , , , , , , ,6, , ,6,2500000,0,0,0,0,0,0, ,0,0,0,25000000,27500000,1,1,48,4,2500000,8,671,1,2010
51,73,1,1,2,2,1,6,2,3,1,1,13,20, ,15,6,1,1, , , , , , , , , , , , , , ,3,5,1, , ,3,0,4,1,2,1800000,1,2000000,0,6,1,6, , , , , , , , , ,1,9,1,6,3800000,0,0,0,0,0,0, ,0,0,450000,0,4250000,1,1,51,4,3800000,7,611,1,2010
51,73,1,1,3,3,1,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,720,1,2010
51,73,1,1,4,4,1,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,656,1,2010
51,76,1,1,1,1,1,6,3,2,1,1,6, , , ,1, ,6,6,6,6, , ,11,6,5,1,9,8,6,9,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,540000,1,0,0,0,0,540000,3,3, ,4, ,11,422,1,2010
51,76,1,1,2,9,1,1,5,2,1,1,13,17,2, ,6,1,6,6,6,6, , ,7,1, ,1,3,8,2,10,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1200000,0, ,0,0,0,0,1200000,3,3, ,4, ,6,433,1,2010
51,77,1,1,1,1,1,1,2,2,1,1,7, , , ,1, ,1, , , , , , , , , , , , , , ,9,8,1, , ,6,0,1,6,4, , , , , , ,6, , , , , , , , , ,1,1,6,6,620000,0,0,0,0,0,330000,1,0,0,0,0,950000,1,1,59,4,620000,13,385,1,2010
51,77,1,1,2,2,1,6,2,2,1,1,6, , , ,6,1,1, , , , , , , , , , , , , , ,9,8,1, , ,20,0,1,6,4, , , , , , ,1,9,5, ,6, , , , ,0,2,1,6,1,120000,16000,0,0,0,0,0, ,0,0,0,0,136000,1,4,18,4,136000,11,422,1,2010
51,77,1,1,3,3,1,1,2,2,1,1,6,20, ,2,6,1,1, , , , , , , , , , , , , , ,7,2,1, , ,16,0,8,6,2,1700000,6, , ,6,2,6, , , , , , , , , ,6, , ,1,1700000,0,0,0,0,0,0, ,0,0,0,0,1700000,1,1,60,4,1700000,7,611,1,2010
51,77,1,1,4,6,1,6,2,2,1,1,8,20, ,1,1, ,1, , , , , , , , , , , , , , ,5,8,1, , ,2,0,1,6,4, , , , , , ,6, , , , , , , , , ,2,1,6,1,0,0,0,0,0,0,0, ,0,0,0,0,0,1,1,60,4,0,4,462,1,2010
51,81,1,1,1,1,1,6,4,1,1,1,5, , , ,1, ,1, , , , , , , , , , , , , , ,9,5,1, , ,15,0,1,6,4, , , , , , ,6, , , , , , , , , ,2,1,6,1,480000,0,0,0,0,0,0, ,0,0,0,0,480000,1,4,24,4,480000,13,374,1,2010
51,81,1,1,2,3,1,1,5,1,1,1,3,20, ,13,6,1,1, , , , , , , , , , , , , , ,5,5,1, , ,16,0,1,6,4, , , , , , ,6, , , , , , , , , ,6, , ,6,900000,0,0,0,0,0,0, ,0,0,0,0,900000,1,1,49,4,900000,7,611,1,2010
51,81,1,1,3,5,1,1,5,2,1,1,5,20, ,13,6,1,1, , , , , , , , , , , , , , ,9,2,1, , ,1,0,2,6,2,300000,6, , ,6,3,6, , , , , , , , , ,6, , ,6,300000,0,0,0,0,0,0, ,0,0,0,0,300000,1,5,38,4,300000,4,490,1,2010
51,97,1,1,1,1,1,6,2,3,1,1,8,20, ,1,1, ,1, , , , , , , , , , , , , , ,9,5,1, , ,0,6,1,6,4, , , , , , ,6, , , , , , , , , ,1,6,6,6,1120000,0,0,0,0,0,0, ,0,0,0,0,1120000,1,1,70,2,1120000,11,422,1,2010
51,97,1,1,2,2,1,1,2,1,1,1,6,20, ,1,1, ,1, , , , , , , , , , , , , , ,7,4,1, , ,28,0,2,6,3, , , , , , ,6, , , , , , , , , ,1,6,6,6,800000,0,0,0,0,0,0, ,0,0,0,0,800000,1,1,60,2,800000,10,490,1,2010
51,110,1,1,1,1,1,1,1,2,1,1,5, , , ,6,2,6,6,6,6, , ,12,6,6,1,8,2,2,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,13,463,1,2010
51,110,1,1,2,2,1,6,1,2,1,1,3, , , ,1, ,1, , , , , , , , , , , , , , ,7,2,1, , ,45,0,1,6,4, , , , , , ,6, , , , , , , , , ,6, , ,6,1200000,0,0,0,0,500000,0, ,0,0,0,0,1700000,1,1,80,4,1200000,12,454,1,2010
51,110,1,1,3,3,1,6,5,2,1,1,6,20, ,2,6,2,1, , , , , , , , , , , , , , ,5,5,1, , ,8,0,2,6,2,1408864,6, , ,6,2,6, , , , , , , , , ,6, , ,6,1408864,0,0,0,0,0,0, ,0,0,0,0,1408864,1,1,58,4,1408864,6,494,1,2010
51,110,1,1,4,3,1,6,5,3,1,1,12,20, ,2,1, ,1, , , , , , , , , , , , , , ,3,8,1, , ,4,0,4,6,2,650000,6, , ,6,1,6, , , , , , , , , ,3,6,6,1,650000,0,0,0,0,0,0, ,0,0,0,0,650000,1,4,13,4,650000,6,494,1,2010
51,110,1,1,5,3,1,1,5,2,1,1,12,20, ,17,6,2,1, , , , , , , , , , , , , , ,3,8,1, , ,2,0,4,6,1,1408864,6, , ,6,2,6, , , , , , , , , ,6, , ,1,1408864,0,0,0,0,0,0, ,0,0,0,0,1408864,1,4,13,4,1408864,5,465,1,2010
51,110,1,1,6,3,1,1,5,2,1,1,12,20, ,2,6,2,6,6,6,1,3,6,9,1, ,1,5,5,2,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,2,2, ,4, ,5,465,1,2010
51,110,1,1,7,3,1,1,5,2,1,1,11,3,1, ,6,2,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,4,490,1,2010
51,110,1,1,8,3,1,6,5,3,1,1,8,2,1, ,6,2,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,501,1,2010
51,110,1,1,9,3,1,6,5,2,1,1,6,20, ,2,6,2,1, , , , , , , , , , , , , , ,7,2,1, , ,20,0,5,1,2,1275022,6, , ,6,1,6, , , , , , , , , ,6, , ,6,1275022,0,0,0,0,0,0, ,0,0,0,0,1275022,1,1,40,4,1275022,8,618,1,2010
51,110,1,1,10,5,1,1,5,3,1,1,10,3,1, ,6,2,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,4,490,1,2010
52,16,1,1,1,1,1,6,5,1,1,1,2, , , ,1, ,6,6,6,6, , ,12,1, ,1,9,8,6,9,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,100000,200000,1,0,0,0,0,300000,3,3, ,4, ,13,647,1,2010
52,16,1,1,2,3,1,1,5,1,6,1,6,20, ,1,6,1,1, , , , , , , , , , , , , , ,9,8,1, , ,23,0,1,6,4, , , , , , ,6, , , , , , , , , ,6, , ,6,200000,0,0,0,0,0,0, ,0,0,0,0,200000,1,1,10,4,200000,9,960,1,2010
52,16,1,1,3,5,1,6,5,3,1,1,10,3,2, ,6,1,6,6,6,6, , ,7,1, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,250000,0, ,0,0,0,0,250000,3,3, ,4, ,4,799,1,2010
52,28,1,1,1,1,1,1,1,2,1,1,12, , , ,6,2,1, , , , , , , , , , , , , , ,2,8,1, , ,36,0,1,6,4, , , , , , ,6, , , , , , , , , ,6, , ,6,2000000,0,0,0,0,0,0, ,0,0,0,0,2000000,1,1,66,4,2000000,11,717,1,2010
52,28,1,1,2,2,1,6,1,2,1,1,6,20, ,15,1, ,1, , , , , , , , , , , , , , ,5,5,3,11,77,10,0,1,6,4, , , , , , ,6, , , , , , , , , ,1,1,6,6,1000000,0,0,0,0,0,0, ,0,0,0,0,1000000,1,1,77,4,1000000,10,832,1,2010
52,28,1,1,3,3,1,1,5,2,1,1,9,20, ,2,6,2,6,6,1, ,3,1, ,1, ,1,5,5,2,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,2,2, ,4, ,5,805,1,2010
52,28,1,1,4,3,1,1,5,2,1,1,12,20, ,17,6,2,6,6,6,6, , ,2,1, ,1,9,5,2,6,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,4,847,1,2010
52,28,1,1,5,3,1,6,5,2,1,1,5,2,1, ,6,2,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,866,1,2010
52,28,1,1,6,5,1,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,1,1135,1,2010
52,35,1,1,1,1,1,6,3,2,1,1,12, , , ,6,5,1, , , , , , , , , , , , , , ,1,5,1, , ,0,5,2,6,3, , , , , , ,6, , , , , , , , , ,6, , ,1,9999999999,0,0,0,0,0,0, ,0,0,0,0,9999999999,1,1,43,4,9999999999,11,730,1,2010
52,35,1,1,2,3,1,1,5,2,1,1,12,20, ,17,6,5,1, , , , , , , , , , , , , , ,8,5,1, , ,0,3,4,1,2,1275022,1,999999999,999999999,1,1,6, , , , , , , , , ,6, , ,6,9999999999,0,0,0,0,0,0, ,0,0,0,0,9999999999,1,1,53,4,9999999999,6,749,1,2010
52,35,1,1,3,3,1,6,5,3,1,1,14,20, ,19,6,5,1, , , , , , , , , , , , , , ,3,7,1, , ,1,0,5,1,2,1275022,1,1408864,999999999,6,1,6, , , , , , , , , ,6, , ,6,9999999999,0,0,0,0,0,0, ,0,0,0,0,9999999999,1,1,45,4,9999999999,5,850,1,2010
52,35,1,1,4,3,1,1,5,3,1,1,12,20, ,16,6,5,1, , , , , , , , , , , , , , ,3,7,1, , ,0,2,3,6,2,800000,6, , ,6,4,1,5,5, ,6,600000,0,0,3,0,6, , ,6,800000,600000,0,0,0,0,0, ,0,0,0,0,1400000,1,1,50,4,1400000,4,847,1,2010
52,35,1,1,5,3,1,1,3,2,1,1,14,20, ,1,1, ,1, , , , , , , , , , , , , , ,5,5,1, , ,1,6,1,6,4, , , , , , ,6, , , , , , , , , ,2,1,1,6,2500000,0,0,0,0,0,0, ,0,0,0,0,2500000,1,1,55,4,2500000,8,1161,1,2010
52,35,1,1,6,5,1,6,5,3,1,1,10,3,2, ,6,5,1, , , , , , , , , , , , , , ,4,5,1, , ,0,3,3,6,2,800000,6, , ,1,3,6, , , , , , , , , ,6, , ,6,1325000,0,0,0,0,0,0, ,0,0,0,0,1325000,1,1,50,4,1325000,4,799,1,2010
52,35,1,1,7,5,1,6,5,3,1,1,5,2,2, ,6,5,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,866,1,2010
52,35,1,1,8,5,1,1,5,3,1,1,3,2,2, ,6,5,6,6,6,6, , ,7,6,4,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,4, ,3,794,1,2010
52,46,1,1,1,1,1,6,3,3,1,1,6,20, ,2,6,2,1, , , , , , , , , , , , , , ,9,8,1, , ,0,3,9,6,6,480000,6, , ,1,3,6, , , , , , , , , ,1,1,6,6,792000,0,0,0,0,0,0, ,0,0,600000,0,1392000,1,5,54,3,792000,8,1070,1,2010
52,46,1,1,2,3,1,6,5,3,1,1,11,3,2, ,1, ,6,6,1, ,3,1, ,1, ,1,5,5,2,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,2,2, ,3, ,4,799,1,2010
52,46,1,1,3,3,1,1,5,3,1,1,6,2,2, ,6,2,1, , , , , , , , , , , , , , ,5,6,1, , ,0,1,2,6,2,80000,6, , ,6,3,6, , , , , , , , , ,6, , ,1,80000,0,0,0,0,0,0, ,0,0,0,0,80000,1,4,4,3,80000,3,794,1,2010
52,46,1,1,4,3,1,1,5,3,6,1,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,947,1,2010
52,46,1,1,5,3,1,6,5,3,6,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,988,1,2010
52,49,1,1,1,1,1,6,5,3,1,1,12, , , ,1, ,6,6,6,6, , ,6,1, ,1,2,8,4,1,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,2500000,0,0,0,2500000,3,3, ,3, ,13,812,1,2010
52,49,1,1,2,3,1,6,5,3,6,1,0,20, ,19,6,1,6,6,6,6, , ,12,6,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,3, ,7,1057,1,2010
52,61,1,1,1,1,1,1,1,2,1,1,6, , , ,6,2,1, , , , , , , , , , , , , , ,7,5,1, , ,36,0,10,6,2,1000000,1,0,1100000,6,3,6, , , , , , , , , ,6, , ,6,2200000,0,0,0,0,0,0, ,0,0,0,0,2200000,1,1,58,2,2200000,11,717,1,2010
52,61,1,1,2,2,1,6,1,2,1,1,6, , , ,1, ,6,6,6,6, , ,6,6,3,1,5,5,2,2,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, ,0,0,0,0,0,3,3, ,2, ,11,730,1,2010
52,61,1,1,3,3,1,1,5,3,1,1,12,20, ,1,6,2,1, , , , , , , , , , , , , , ,9,5,1, , ,0,5,10,6,2,9999999999,1,999999999,999999999,6,3,6, , , , , , , , , ,2,2,6,6,9999999999,0,0,0,0,0,0, ,0,0,0,0,9999999999,1,1,58,2,9999999999,5,805,1,2010
52,61,1,1,4,3,1,1,5,3,1,1,12,20, ,2,6,2,1, , , , , , , , , , , , , , ,9,5,1, , ,1,0,10,1,2,1276000,1,0,1300000,1,2,6, , , , , , , , , ,2,2,6,6,3176000,0,0,0,0,0,0, ,0,0,0,0,3176000,1,1,84,2,3176000,5,805,1,2010
52,63,1,1,1,1,1,1,1,2,1,1,12,20, ,1,1, ,1, , , , , , , , , , , , , , ,7,2,1, , ,0,9,2,6,3, , , , , , ,6, , , , , , , , , ,6, , ,6,1600000,0,0,0,0,0,0, ,0,0,0,0,1600000,1,1,48,2,1600000,7,1057,1,2010
52,63,1,1,2,2,1,6,1,2,1,1,9,20, ,19,6,1,1, , , , , , , , , , , , , , ,5,1,1, , ,1,6,2,6,4, , , , , , ,6, , , , , , , , , ,6, , ,6,400000,0,0,0,0,0,0, ,0,0,0,0,400000,1,1,28,2,400000,5,850,1,2010
